state,prob,load
t,2.6476058300611838e-08,436453.57686453575
t,8.156570072137548e-10,436453.57686453575
t,1.899236670710458e-11,436453.57686453575
t,2.970262924506528e-13,436453.57686453575
t,2.310651670001107e-15,436453.57686453575
t,0.0002774724788979204,436453.57686453575
c,2.736773100096325e-05,436453.57686453575
c,1.8804483028311662e-06,436453.57686453575
c,1.0486406403745381e-07,436453.57686453575
c,4.885846274435557e-09,436453.57686453575
c,1.884989855177599e-10,436453.57686453575
c,5.828406333951985e-12,436453.57686453575
c,1.357169585047835e-13,436453.57686453575
c,1.958069123508821e-15,436453.57686453575
c,0,436453.57686453575
c,0.0001485804080552551,436453.57686453575
c,9.405531318056048e-06,436453.57686453575
c,2.5808895399298537e-07,436453.57686453575
c,6.046372638679465e-09,436453.57686453575
c,1.1795654036861336e-10,436453.57686453575
c,1.843400432299802e-12,436453.57686453575
c,2.1555673912487805e-14,436453.57686453575
c,0,436453.57686453575
c,0,436453.57686453575
c,1.0503364098258736e-05,436453.57686453575
c,2.9380405230450615e-07,436453.57686453575
c,4.6570426691415825e-09,436453.57686453575
c,6.122653946338819e-11,436453.57686453575
c,6.423598632177008e-13,436453.57686453575
c,5.0584536559483695e-15,436453.57686453575
c,0,436453.57686453575
c,0,436453.57686453575
c,5.373894498743662e-07,436453.57686453575
c,8.606925491760897e-09,436453.57686453575
c,8.553398961330672e-11,436453.57686453575
c,6.768856308791982e-13,436453.57686453575
c,3.899658373995862e-15,436453.57686453575
c,0,436453.57686453575
c,8.326672684688674e-17,436453.57686453575
c,2.18287106862336e-08,436453.57686453575
c,2.1819036161163652e-10,436453.57686453575
c,1.387076217773675e-12,436453.57686453575
c,6.414140052424244e-15,436453.57686453575
c,0,436453.57686453575
c,0,436453.57686453575
c,6.970439850317867e-10,436453.57686453575
c,4.444434403838571e-12,436453.57686453575
c,1.7516587139110307e-14,436453.57686453575
c,0,436453.57686453575
c,0,436453.57686453575
c,1.6596929559853368e-11,436453.57686453575
c,6.551486783634708e-14,436453.57686453575
c,0,436453.57686453575
c,0,436453.57686453575
c,2.631766332639174e-13,436453.57686453575
c,1.3877787807814457e-17,436453.57686453575
c,0,436453.57686453575
c,1.870031907102998e-15,436453.57686453575
c,0,436453.57686453575
t,0.08320317840774662,374103.06588388776
t,0.006415637262617634,374103.06588388776
t,0.00044353106141245026,374103.06588388776
t,2.706360470366813e-05,374103.06588388776
t,1.4279163437352915e-06,374103.06588388776
t,6.333948629477781e-08,374103.06588388776
t,2.2678085069560705e-09,374103.06588388776
t,6.144745823277731e-11,374103.06588388776
t,1.1200311511583294e-12,374103.06588388776
t,1.0245276849119023e-14,374103.06588388776
t,0.0004236379140777277,374103.06588388776
c,4.8450338254305e-05,374103.06588388776
c,3.858685176916753e-06,374103.06588388776
c,2.494669972615167e-07,374103.06588388776
c,1.3483511250231284e-08,374103.06588388776
c,6.040012092908831e-10,374103.06588388776
c,2.1707143894877934e-11,374103.06588388776
c,5.88864026984659e-13,374103.06588388776
c,1.0641661163379723e-14,374103.06588388776
c,1.457167719820518e-16,374103.06588388776
c,0.00022935375394040995,374103.06588388776
c,1.694591414135027e-05,374103.06588388776
c,5.419607904955104e-07,374103.06588388776
c,1.4789278017512952e-08,374103.06588388776
c,3.3603322902031607e-10,374103.06588388776
