scale,throughput,load,collision,lost
0.0039,46167.588,671467.04,96.913886,0
0.0039,58512.802,671467.04,95.634694,0
0.0039,41391.887,671467.04,97.615133,0
0.0042,57996.754,623505.11,95.308788,0
0.0042,58088.211,623505.11,96.865376,0
0.0042,61684.422,623505.11,94.168821,0
0.0042,55659.192,623505.11,94.86771,0
0.0042,57120.71,623505.11,96.676964,0
0.0042,47604.747,623505.11,96.626173,0
0.0042,53959.601,623505.11,96.805289,0
0.0042,47106.463,623505.11,96.904677,0
0.0042,59090.417,623505.11,93.004592,0
0.0042,65213.382,623505.11,95.218186,0
0.0042,52957.869,623505.11,92.015502,0
0.0042,53701.525,623505.11,96.138333,0
0.0042,46236.202,623505.11,95.608027,0
0.0042,56502.788,623505.11,93.582435,0
0.0042,50201.818,623505.11,97.27832,0
0.0042,49399.219,623505.11,94.748483,0
0.0042,68838.838,623505.11,97.06509,0
0.0042,61022.154,623505.11,94.226974,0
0.0042,46463.891,623505.11,95.193297,0
0.0042,69704.617,623505.11,95.716089,0
0.0042,57240.193,623505.11,98.343571,0
0.0042,58697.864,623505.11,96.947308,0
0.0042,53730.15,623505.11,95.233035,0
0.0042,50644.858,623505.11,96.444516,0
0.0042,72551.762,623505.11,97.778445,0
0.0042,63599.513,623505.11,96.317339,0
0.0042,52596.717,623505.11,97.821145,0
0.0042,61536.479,623505.11,95.731557,0
0.0042,59783.616,623505.11,97.519363,0
0.0042,72085.657,623505.11,96.846206,0
0.0042,50662.233,623505.11,97.1555,0
0.0042,53297.224,623505.11,96.368745,0
0.0042,56475.669,623505.11,96.446534,0
0.0042,63042.35,623505.11,94.143936,0
0.0042,65402.899,623505.11,95.865308,0
0.0042,86979.766,623505.11,92.20459,0
0.0042,45887.367,623505.11,95.439768,0
0.0042,58217.562,623505.11,96.372737,0
0.0042,63189.819,623505.11,95.929112,0
0.0042,50409.58,623505.11,95.113862,0
0.0042,66043.271,623505.11,95.681927,0
0.0042,52326.839,623505.11,94.924866,0
0.0042,63826.539,623505.11,92.995559,0
0.0042,49766.143,623505.11,96.710204,0
0.0042,59556.464,623505.11,98.05275,0
0.0042,47217.401,623505.11,96.956521,0
0.0042,72939.989,623505.11,95.117792,0
0.0042,61734.873,623505.11,95.141483,0
0.0042,63877.258,623505.11,94.94735,0
0.0042,46307.525,623505.11,97.847803,0
0.0042,55009.194,623505.11,96.134878,0
0.0042,59788.365,623505.11,95.274635,0
0.0042,72690.608,623505.11,94.399247,0
0.0042,56680.952,623505.11,96.032289,0
0.0042,65852.443,623505.11,95.730161,0
0.0042,46280.603,623505.11,97.341106,0
0.0042,60491.417,623505.11,95.307103,0
0.0042,51207.545,623505.11,96.168779,0
0.0042,42945.775,623505.11,97.79055,0
0.0042,52556.281,623505.11,93.406957,0
0.0042,66599.259,623505.11,95.773785,0
0.0042,46903.476,623505.11,93.803778,0
0.0042,57300.244,623505.11,96.581965,0
0.0042,66394.509,623505.11,95.116909,0
0.0042,67033.534,623505.11,93.388804,0
0.0042,56667.82,623505.11,96.859707,0
0.0042,53443.41,623505.11,93.656323,0
0.0042,79742.508,623505.11,95.364682,0
0.0042,53483.618,623505.11,97.18299,0
0.0042,56700.442,623505.11,96.733467,0
0.0042,51081.96,623505.11,95.373201,0
0.0042,60160.698,623505.11,94.772732,0
0.0042,65901.938,623505.11,95.887317,0
0.0042,41215.99,623505.11,97.43837,0
0.0042,54627.973,623505.11,92.500363,0
0.0042,44808.118,623505.11,95.823833,0
0.0042,54579.97,623505.11,95.993993,0
0.0042,67881.45,623505.11,94.756527,0
0.0042,63011.547,623505.11,95.327459,0
0.0042,51896.9,623505.11,94.685972,0
0.0042,42036.095,623505.11,95.976023,0
0.0042,39142.122,623505.11,98.637111,0
0.0042,47177.192,623505.11,96.408795,0
0.0042,60222.471,623505.11,96.344201,0
0.0042,55883.812,623505.11,95.494903,0
0.0042,64574.063,623505.11,95.808187,0
0.0042,55765.653,623505.11,96.790888,0
0.0042,65446.283,623505.11,95.579728,0
0.0042,56194.751,623505.11,93.699138,0
0.0042,54746.093,623505.11,97.211835,0
0.0042,55641.103,623505.11,96.128914,0
0.0042,63678.431,623505.11,96.200662,0
0.0042,52686.843,623505.11,94.867371,0
0.0042,52000.963,623505.11,95.147111,0
0.0042,65713.772,623505.11,96.312955,0
0.0042,67397.175,623505.11,95.856479,0
0.0042,49971.77,623505.11,94.542576,0
0.0042,48318.514,623505.11,95.448921,0
0.0042,75345.314,623505.11,95.512649,0
0.0042,64963.546,623505.11,96.077795,0
0.0045,68264.916,581938.1,93.570566,0
0.0045,67410.477,581938.1,94.307008,0
0.0045,54259.13,581938.1,95.58948,0
0.0045,61340.923,581938.1,93.624492,0
0.0045,70466.515,581938.1,96.909971,0
0.0045,59313.545,581938.1,93.108551,0
0.0045,62407.51,581938.1,95.90279,0
0.0045,50959.18,581938.1,96.385701,0
0.0045,72131.203,581938.1,92.596172,0
0.0045,59844.228,581938.1,93.736055,0
0.0045,56334.601,581938.1,92.713439,0
0.0045,68517.886,581938.1,95.03915,0
0.0045,46619.952,581938.1,95.647637,0
0.0045,64129.066,581938.1,93.408016,0
0.0045,66765.606,581938.1,96.119902,0
0.0045,65118.189,581938.1,94.256272,0
