node,scale,throughput,load,collision,lost
4,0.003,19639.557,872907.15,98.039216,0
5,0.003,33353.189,872907.15,100,0
6,0.003,0,872907.15,100,0
7,0.003,47618.709,872907.15,100,0
8,0.003,62870.153,872907.15,100,0
9,0.003,49359.262,872907.15,100,0
0,0.003,72864.863,872907.15,85.185185,0
1,0.003,-10595.255,872907.15,92.857143,0
2,0.003,99067.115,872907.15,100,0
3,0.003,37652.93,872907.15,95.555556,0
4,0.003,29742.952,872907.15,100,0
5,0.003,91977.662,872907.15,100,0
6,0.003,50577.335,872907.15,100,0
7,0.003,0,872907.15,100,0
8,0.003,644.25166,872907.15,100,0
9,0.003,62178.339,872907.15,100,0
0,0.003,23973.786,872907.15,90.625,0
1,0.003,2608.3139,872907.15,94.285714,0
2,0.003,74997.891,872907.15,100,0
3,0.003,26573.429,872907.15,100,0
4,0.003,10509.978,872907.15,98.113208,0
5,0.003,30830.601,872907.15,97.777778,0
6,0.003,42385.691,872907.15,100,0
7,0.003,40195.937,872907.15,94.444444,0
8,0.003,9723.8319,872907.15,100,0
9,0.003,115971.83,872907.15,100,0
0,0.003,89665.416,872907.15,90.322581,0
1,0.003,47049.197,872907.15,100,0
2,0.003,91202.052,872907.15,98.611111,0
3,0.003,66831.038,872907.15,94.117647,0
4,0.003,42932.11,872907.15,98.181818,0
5,0.003,18189.512,872907.15,100,0
6,0.003,22075.216,872907.15,100,0
7,0.003,71400.283,872907.15,100,0
8,0.003,56673.778,872907.15,100,0
9,0.003,103914.45,872907.15,100,0
0,0.003,81223.186,872907.15,89.285714,0
1,0.003,62082.95,872907.15,90,0
2,0.003,46237.108,872907.15,100,0
3,0.003,47948.523,872907.15,95.918367,0
4,0.003,19602.607,872907.15,100,0
5,0.003,6623.4657,872907.15,100,0
6,0.003,76072.886,872907.15,97.87234,0
7,0.003,46424.946,872907.15,93.103448,0
8,0.003,11698.952,872907.15,100,0
9,0.003,59992.647,872907.15,100,0
0,0.003,43471.062,872907.15,95,0
1,0.003,4133.7145,872907.15,94.594595,0
2,0.003,160999.32,872907.15,100,0
3,0.003,11223.352,872907.15,94.827586,0
4,0.003,14165.437,872907.15,98,0
5,0.003,0,872907.15,100,0
6,0.003,11387.274,872907.15,100,0
7,0.003,0,872907.15,100,0
8,0.003,168282.42,872907.15,100,0
9,0.003,150035.16,872907.15,100,0
0,0.003,30741.957,872907.15,100,0
1,0.003,7312.7957,872907.15,95.454545,0
2,0.003,9070.983,872907.15,100,0
3,0.003,70961.047,872907.15,98.461538,0
4,0.003,7319.1126,872907.15,100,0
5,0.003,76563.476,872907.15,100,0
6,0.003,70209.577,872907.15,100,0
7,0.003,45045.39,872907.15,87.096774,0
8,0.003,61551.294,872907.15,100,0
9,0.003,193596.42,872907.15,98.837209,0
0,0.003,58103.193,872907.15,89.189189,0
1,0.003,-4348.0571,872907.15,97.142857,0
2,0.003,43915.714,872907.15,98.717949,0
3,0.003,61087.462,872907.15,98.039216,0
4,0.003,4407.3522,872907.15,98.4375,0
5,0.003,29506.442,872907.15,100,0
6,0.003,90551.873,872907.15,100,0
7,0.003,23642.983,872907.15,92.5,0
8,0.003,46022.754,872907.15,100,0
9,0.003,80129.445,872907.15,100,0
